barkod,miktar,markalar,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,yag_seviyesi,doymus_yag_seviyesi,seker_seviyesi,tuz_seviyesi,enerji_kj,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,sodyum_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,nutriscore_puan,ns_negatif_puan,ns_pozitif_puan,ns_enerji_puan,ns_seker_puan,ns_doymus_yag_puan,ns_tuz_puan,ns_protein_puan,ns_lif_puan,ns_meyve_sebze_baklagil_puan,urun_bilgisi,birim,kategori_listesi,etiketler_listesi
5411188116592,1.0,Alpro,[],['Nuts'],15,B,4.0,,True,True,yes,moderate,moderate,low,low,66.65,16.0,1.61243,1.419,2.8664,0.18588,0.08367,0.38454,0.06965786,,,8.6,2,2,0,1.0,0,1.0,0,0.0,0,0,Tempting and Tropical Coco,l,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Dairy substitutes', 'Milk substitutes', 'Plant-based beverages', 'Plant-based milk alternatives', 'Pasteurised products']","['Low or no fat', 'Vegetarian', 'Low fat', 'No gluten', 'Enriched with vitamins', 'No milk', 'Pasteurized', 'Vegan', '100% vegetable', 'Calcium source', 'High in calcium', 'Low energy', 'Made in France', 'No added sugar', 'Nutriscore', 'Nutriscore Grade B', 'Vitamin B12 source', 'Vitamin D source']"
3175681028098,200.0,Céréal Bio,"['Celery', 'Gluten']","['Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",19,B,4.0,A,True,True,yes,moderate,low,low,moderate,780.0,186.0,5.2,0.6,25.0,3.8,6.2,5.0,0.95,0.38,,,2,7,5,2.0,1,0.0,4,2.0,3,0,Galettes boulghour & épeautre,g,"['Meat alternatives', 'Vegetarian patties', 'Cereals and vegetables patties']","['Vegetarian', 'Organic', 'Certified by Ecocert', 'EU Organic', 'No preservatives', 'Non-EU Agriculture', 'Source of fibre', 'Vegan', 'Cooked in France', 'ES-ECO-019-CT', 'EU Agriculture', 'EU/non-EU Agriculture', 'FR-BIO-01', 'High fibres', 'Natural colorings', 'No additives', 'No colorings', 'Nutriscore', 'Nutriscore Grade A', 'AB Agriculture Biologique', 'fr:Blé français']"
3248340054063,1.0,C’est qui le patron?!,['Milk'],[],1,B,1.0,C,True,True,no,low,low,low,low,199.0,47.0,1.55,1.04,4.83,4.66,0.0,3.38,0.09,,,0.0,0,7,7,3.0,3,1.0,0,7.0,0,0,Lait demi écrémé,l,"['Dairies', 'Milks (liquid and powder)', 'Milks', 'Homogenized milks', 'Pasteurised products', 'Semi-skimmed milks', 'UHT Milks']","['No GMOs', 'French milk', 'FSC', 'FSC Mix', 'fr:Garantie IPLC', 'Triman']"
6111242105638,1.0,Jaouda,['Milk'],[],4,B,1.0,D,True,True,no,moderate,low,low,low,242.0,58.0,3.0,1.3,4.7,0.0,,3.0,0.0,0.0,,,0,6,6,5.0,0,1.0,0,6.0,0,0,Lait sans lactose,l,"['Dairies', 'Milks', 'Homogenized milks', 'UHT Milks', 'Lactose-free milk']","['No gluten', 'No lactose']"
6111266962910,230.0,jaouda,[],[],7,B,4.0,D,True,,maybe,low,low,moderate,low,155.0,37.0,0.0,0.0,8.7,4.5,0.2,0.1,0.0025,0.001,0.0,66.0,2,6,4,3.0,3,0.0,0,0.0,0,4,press up jaouda petit orange,,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Plant-based beverages', 'Fruit-based beverages', 'Juices and nectars', 'Fruit juices', 'Orange juices']",['Rich in vitamin C']
3329770051072,360.0,Petit yoplait std,['Milk'],[],5,B,3.0,A,True,True,no,moderate,moderate,low,low,364.0,87.0,3.8,2.5,4.1,4.1,0.1,9.0,0.075,0.03,,,1,4,3,1.0,1,2.0,0,3.0,0,0,Fromage frais nature au lait demi-écrémé.,g,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Petits suisses', 'Plain fermented dairy desserts', 'Plain Petit-Suisse']","['Source of proteins', 'French milk', 'High proteins', 'Made in France', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
20171841,250.0,Tastino,['Gluten'],"['Gluten', 'Milk', 'Sesame seeds']",2,B,3.0,A,True,True,yes,low,low,low,moderate,1345.0,319.0,1.5,0.3,60.0,0.0,16.0,8.3,1.3,0.52,,,2,10,8,4.0,0,0.0,6,3.0,5,0,Tostas integral CENTENO/CENTEIO,unknown,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Breads', 'Crispbreads', 'Rye breads']","['Source of fibre', 'Green Dot', 'High fibres', 'Nutriscore', 'Nutriscore Grade B', 'Tidy man']"
6111242104198,950.0,jaouda,[],[],7,B,4.0,C,True,,maybe,low,low,moderate,low,151.2,37.0,0.0,0.0,8.7,4.5,0.2,0.1,0.0025,0.001,,66.0,2,6,4,3.0,3,0.0,0,0.0,0,4,Pressup Orange 1l,g,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Plant-based beverages', 'Fruit-based beverages', 'Juices and nectars', 'Fruit nectars', 'Fruit juices', 'Orange juices', 'Orange nectars']",[]
8410111211202,240.0,Isabel,[],[],3,B,,E,False,True,yes,moderate,moderate,low,moderate,828.0,198.0,10.0,1.5,0.0,0.0,0.0,27.0,1.2,0.48,,,1,8,7,2.0,0,1.0,5,7.0,0,0,Atun,g,"['Seafood', 'Fishes and their products', 'Canned foods', 'Fishes', 'Fatty fishes', 'Canned fishes', 'Tunas', 'Canned tunas', 'Atún-en-aceite']","['Dolphin Safe', 'Natural source of Oméga 3']"
7613032655495,260.0,Nestlé,[],[],5,B,4.0,,True,True,yes,,,,,211.0,50.0,1.6,1.0,5.0,4.9,0.9,3.4,0.1,0.04,,,0,7,7,4.0,3,0.0,0,7.0,0,0,"Chicorée & Café, RICORÉ® L'Original, Boîte de 260g",g,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Plant-based foods', 'Plant-based beverages', 'Beverage preparations', 'Coffees', 'Instant beverages', 'Instant coffee substitutes', 'Instant coffees', 'Instant mix of chicory and coffee powder']","['Vegetarian', 'Green Dot', 'Made in France', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
