url,barkod,urun_adi,miktar,ambalaj,markalar,kategoriler,etiketler,mensei,uretim_yerleri,satildigi_ulkeler,icerik_metni,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,yag_seviyesi,doymus_yag_seviyesi,seker_seviyesi,tuz_seviyesi,enerji_kj,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,sodyum_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,nutriscore_puan,ns_negatif_puan,ns_pozitif_puan,ns_enerji_puan,ns_seker_puan,ns_doymus_yag_puan,ns_tuz_puan,ns_protein_puan,ns_lif_puan,ns_meyve_sebze_baklagil_puan
https://world.openfoodfacts.org/product/4056489678359/mais-doux-bio-freshona,4056489678359,Maïs doux bio – Freshona – 300 g,300 g,,Freshona,"Plant-based foods and beverages, ,, Plant-based foods, ,, Fruits and vegetables based foods, ,, Vegetable-based foods and beverages, ,, Canned foods, ,, Cereals and potatoes, ,, Frozen foods, ,, Vegetables based foods, ,, Canned plant-based foods, ,, Cereals and their products, ,, Canned vegetables, ,, Canned cereals, ,, Canned corn, ,, Canned sweet corn","Organic, ,, EU Organic, ,, AB Agriculture Biologique",,,"France, ,, Germany","French: Maïs doux en grain, eau, sel de mer.",,,3,B,3,A,False,True,yes,low,low,low,moderate,372.0,89.0,2.4,0.5,12.0,4.9,3.8,2.9,0.43,0.172,,,2,4,2,1,1,0,2,1,1,0
https://world.openfoodfacts.org/product/7318690129905/jordnotssmor-crunchy-med-havssalt-ica-i-love-eco,7318690129905,JORDNÖTSSMÖR CRUNCHY MED HAVSSALT – ICA i love eco – 350 g,350 g,,ICA i❤️eco,"Plant-based foods and beverages, ,, Plant-based foods, ,, Legumes and their products, ,, Spreads, ,, Nuts and their products, ,, Plant-based spreads, ,, Oilseed purees, ,, Legume butters, ,, Nut butters, ,, Peanut butters",,,Netherlands,"Estonia, ,, Sweden","Swedish: Rostade jordnötter 99,3%, havssalt 0,7%",Peanuts,,2,B,3,E,True,True,yes,high,high,moderate,low,2581.0,617.0,50.0,9.5,11.0,0.0,,28.0,0.02,0.008,,,-2,5,7,,1,,0,7,0,0
https://world.openfoodfacts.org/product/3608580104360/sport-andros,3608580104360,Sport – Andros,,,Andros,"Plant-based foods and beverages, ,, Plant-based foods, ,, Fruits and vegetables based foods, ,, Desserts, ,, Fruits based foods, ,, Compotes, ,, Apple compotes, ,, Compotes to drink",,,,France,"French: Pommes, purée et jus 60 %, banane, 35 %, sirop d’agave, jus de citrons concentré, jus concentré d’acérola, citrates de calcium, chlorure de potassium, sel, vitamines (B1, B2, B3, B5, B6, B8, E).",,,18,B,3,A,True,,maybe,low,low,high,low,355.0,85.0,0.41,0.37,18.0,16.0,1.8,0.63,0.22,0.088,,,1,6,5,1,4,0,1,0,0,5
https://world.openfoodfacts.org/product/4025500289386/dessert-proteico-gusto-vaniglia-muller,4025500289386,DESSERT PROTEICO GUSTO VANIGLIA – müller – 200 g,200 g,,müller,"Dairies, ,, Desserts, ,, Dairy desserts",No added sugar,,,Italy,"Italian: Prodotto a base di proteine del latte (di cui proteine del latte 10 % sul totale di prodotto), panna , amido modificato, correttore di acidità: fosfati di sodio; edulcoranti: acesulfame K, sucralosio; stabilizzante: carra - genina; colorante: caroteni; aroma naturale. *Contiene naturalmente zuccheri.",Milk,,16,B,4,,,True,no,low,low,low,moderate,338.6,81.0,1.8,1.2,6.0,0.0,,10.0,0.4525,0.181,,0.0,1,5,4,1,1,1,2,4,0,0
https://world.openfoodfacts.org/product/9020200032916/mandulaital-kalciummal-es-b12-d-vitaminnal-uht-cukormentes-joya,9020200032916,"Mandulaital kalciummal és B12-, D-vitaminnal, UHT. Cukormentes. – Joya – 1 liter",1 liter,,Joya,"Plant-based foods and beverages, ,, Beverages, ,, Plant-based beverages","Vegetarian, ,, Vegan, ,, Green Dot",,,,"Hungarian: Víz, mandula 2%, kalcium-karbonát, sűrítőanyagok: gellángumi, guargumi; emulgeálószer: lecitinek; só, B12-vitamin, D-vitamin. NYOMOKBAN TOVÁBBI DIÓFÉLÉKET TARTALMAZHAT.",Nuts,,12,B,4,,True,True,yes,low,low,low,low,56.0,14.0,1.2,0.1,0.1,0.0,0.4,0.4,0.12,0.048,,,1,1,0,1,0,0,0,0,0,0
https://world.openfoodfacts.org/product/4056489957263/bio-carrot-juice-solevita,4056489957263,Bio Carrot Juice – Solevita – 1l,1l,,Solevita,"Beverages and beverages preparations, ,, Plant-based foods and beverages, ,, Beverages, ,, Plant-based beverages, ,, Vegetable-based foods and beverages, ,, Juices and nectars, ,, Vegetable-based beverages, ,, Vegetable juices, ,, Carrot juices","Vegetarian, ,, Organic, ,, EU Organic, ,, Vegan, ,, EG-Öko-Verordnung, ,, European Vegetarian Union, ,, European Vegetarian Union Vegan, ,, FSC, ,, Nutriscore, ,, Nutriscore Grade B",,,Germany,"German: 99% Karottensaft, Zitronensaft, Antioxidationsmittel: Ascorbinsäure",,,4,B,1,,True,True,yes,low,low,moderate,low,129.0,31.0,0.0,0.0,6.0,6.0,0.4,0.8,0.1,0.04,,,0,6,6,2,4,0,0,0,0,6
https://world.openfoodfacts.org/product/8445291047259/forever-mures-blackberry-maison-perrier,8445291047259,Forever Mûres-Blackberry – Maison Perrier,,,Maison Perrier,"Beverages and beverages preparations, ,, Beverages, ,, Waters, ,, Flavored waters, ,, Unsweetened flavored waters","Nutriscore, ,, Nutriscore Grade B",France,,"Belgium, ,, France","French: Eau gazéifiée (99,8%), arômes naturels de mûres",,,2,B,1,,False,True,yes,low,low,low,low,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0
https://world.openfoodfacts.org/product/4067796001143/sauerkrautsaft-dm,4067796001143,Sauerkrautsaft – dm – 500ml,500ml,,dm,de:Gemüse Saft,"Vegetarian, ,, Vegan, ,, FSC, ,, FSC Mix",Germany,,Germany,Bio SAUERKRAUTS AFT Fett / Tuky / Zsír / Masti Durchschnittliche Nährwerte pro 100 ml / Výživové údaje na 100 ml / Átlagos tápértékek 100 ml-ben / Priemerné výživové hodnoty na 100 ml/ Prosječna hranjiva vrijednost u 100 ml Energie/Energetická hodnota / Energia/ Energija davon gesättigte Fettsäuren / z toho nasycené mastné kyseliny / amelyből telített zsírsavak / z toho nasýtené 52 kJ/,,,14,B,,,False,True,yes,low,low,low,moderate,50.0,12.0,0.5,0.1,1.5,1.0,0.5,0.8,0.59,0.236,,,2,2,0,0,0,0,2,0,0,0
https://world.openfoodfacts.org/product/7612900346633/biere-sans-alcool,7612900346633,Biere sans alcool – 0.33l,0.33l,,,"Beverages and beverages preparations, ,, Beverages, ,, Non-alcoholic beverages, ,, Non-alcoholic beers",,,,"Germany, ,, Switzerland","French: Eau, MALT D'ORGE , MALT DE BLÉ, gaz carbonique, houblon",Gluten,,5,B,4,D,True,True,yes,low,low,low,low,142.0,34.0,0.0,0.0,7.9,0.0,,0.5,0.0,0.0,,,2,2,0,2,0,0,0,0,0,0
https://world.openfoodfacts.org/product/4061459143164/bio-olivenol-castello,4061459143164,Bio Olivenöl – Castello – 750ml,750ml,,"Castello, ,, Natur aktiv","Plant-based foods and beverages, ,, Plant-based foods, ,, Fats, ,, Vegetable fats, ,, Olive tree products, ,, Vegetable oils, ,, Olive oils",,,,"Austria, ,, Germany",German: Olivenöl,,,1,B,2,E,True,True,yes,high,high,low,low,3404.0,828.0,92.0,15.0,0.5,0.5,,0.5,0.01,0.004,,,1,6,5,,0,,0,0,0,5
https://world.openfoodfacts.org/product/8410066139200/gezeefde-tomaat-heinz,8410066139200,Gezeefde Tomaat – Heinz,,,Heinz,"Plant-based foods and beverages, ,, Plant-based foods, ,, Fruits and vegetables based foods, ,, Vegetables based foods, ,, Tomatoes and their products, ,, Strained tomatoes",,,,"Germany, ,, Netherlands","Dutch: Tomaten (205 g tomaten per 100 g gezeefde tomaten), zout.",,,2,B,3,A,True,True,yes,low,low,low,low,152.0,36.0,0.1,0.0,7.3,4.7,,1.5,0.26,0.104,,,1,2,1,0,1,0,1,0,0,1
https://world.openfoodfacts.org/product/8030582701387/fette-di-segale-integrale-e-sesamo-continental-bakeries,8030582701387,Fette di segale integrale e sesamo – Continental Bakeries – 200 g,200 g,,"Continental Bakeries, ,, Primia","Plant-based foods and beverages, ,, Plant-based foods, ,, Cereals and potatoes, ,, Cereals and their products, ,, Breads, ,, Rusks, ,, Rye breads, ,, Crispbreads","Organic, ,, EU Organic",,,Italy,"Italian: Farina di segale integrale 86%, sesamo 9%, sale marino. Biologico. Può contenere frumento , orzo , avena, farro , uova , soia , latte e noci e senape .","Eggs, Gluten, Milk, Mustard, Nuts, Sesame seeds","Eggs, Gluten, Milk, Mustard, Nuts, Soybeans",10,B,3,A,True,True,no,moderate,low,low,moderate,1560.0,373.0,6.6,1.0,61.0,1.2,14.0,11.0,1.22,0.488,,,1,10,9,4,0,0,6,4,5,0
https://world.openfoodfacts.org/product/8019730001524/farina-di-grano-tenero-tipo-00-md,8019730001524,Farina di grano tenero tipo 00 – MD – 1 kg,1 kg,,MD,"Plant-based foods and beverages, ,, Plant-based foods, ,, Cereals and potatoes, ,, Cereals and their products, ,, Flours, ,, Cereal flours, ,, Wheat flours, ,, Common wheat flours",,,,Italy,,,,,B,,A,,,,low,low,low,low,1464.0,350.0,1.0,0.2,75.0,0.5,2.5,9.0,0.0,0.0,,,1,4,3,4,0,0,0,3,0,0
https://world.openfoodfacts.org/product/3551610010066/pane-au-merlan-l-assiette-bleue,3551610010066,Pané au Merlan – L'assiette Bleue,,,L'assiette Bleue,"Seafood, ,, Fishes and their products, ,, Fishes, ,, Fish fillets, ,, Fish preparations, ,, Breaded products, ,, Breaded fish","Sustainable, ,, Organic, ,, Sustainable fishery, ,, EU Organic, ,, FR-BIO-01, ,, Nutriscore, ,, Nutriscore Grade B, ,, Sustainable Seafood MSC",,,France,"French: Filet de merlan 32% ( POISSON ), filet de POISSON 30,8%, chapelure (farine de BLE *, levure*, sel), huile de tournesol"", eau, farine de BLE *, citron* [citron*,sel, vinaigre d'alcool"", huile essentielle de citron""), OEUF , amidons*, sel, persil"", curcuma. Traces possibles de crustacés , mollusque , lait , soja , sésame et moutarde . *ingrédients issus de l'agriculture biologique. 31% des ingrédients agricoles sont issus de l'Agriculture Biologique. Certifié par FR-BIO-01. Malgré le soin apporté, la présence de quelques arêtes pourrait être constatée. Pêche durable selon le référentiel MSC. www.msc.org/fr","Eggs, Fish, Gluten","Crustaceans, Milk, Molluscs, Mustard, Sesame seeds, Soybeans",23,B,3,E,True,True,no,moderate,low,low,moderate,803.0,192.0,7.1999998092651,1.2000000476837,18.0,1.2000000476837,,13.0,0.7,0.28,,,1,6,5,2,0,1,3,5,0,0
https://world.openfoodfacts.org/product/3350031785979/thon-blanc-entier-a-l-huile-d-olive-vierge-extra-monoprix,3350031785979,Thon blanc entier à l'huile d'olive vierge extra – Monoprix – 160 g (104 g),160 g (104 g),"Metal, ,, Canned, ,, Steel",Monoprix,"Seafood, ,, Fishes and their products, ,, Canned foods, ,, Fishes, ,, Fatty fishes, ,, Canned fishes, ,, Tunas, ,, Canned tunas, ,, Tunas in oil, ,, Tuna in olive oil, ,, Albacore",,,,France,French: Thon blanc (germon) - huile d'olive vierge extra 31% - sel,Fish,,4,B,3,,True,False,no,moderate,moderate,low,moderate,924.0,221.0,13.0,2.4,0.0,0.0,0.0,26.0,1.0,0.4,,,1,8,7,2,0,2,4,7,0,0
https://world.openfoodfacts.org/product/3560071059903/cornichons-extra-fin-sans-marque,3560071059903,Cornichons extra fin – Sans marque – 170 g (100 g égoutté),170 g (100 g égoutté),Glass,Sans marque,"Plant-based foods and beverages, ,, Plant-based foods, ,, Fruits and vegetables based foods, ,, Canned foods, ,, Vegetables based foods, ,, Canned plant-based foods, ,, Pickles, ,, Specific products, ,, Canned vegetables, ,, Plant-based pickles, ,, Pickled vegetables, ,, Pickled cucumbers, ,, Gherkins, ,, Extra-fine gherkins, ,, Licensed products, ,, Pickled gherkins",,,,France,"French: Cornichons 53 % (contient sulfites ), eau, vinaigre d'alcool 4 %, oignons, sel, graines de moutarde , arôme naturel.","Mustard, Sulphur dioxide and sulphites",,7,B,4,,True,,maybe,low,low,low,high,62.0,15.0,0.5,0.1,0.6,0.5,,1.2,1.6,0.64,,,2,7,5,0,0,0,7,0,0,5
https://world.openfoodfacts.org/product/3596710446087/epinards-branches-a-la-creme-auchan,3596710446087,Epinards branches à la crème – Auchan – 0.6 kg,0.6 kg,"Plastic, ,, Bag, ,, Frozen",Auchan,"Plant-based foods and beverages, ,, Plant-based foods, ,, Fruits and vegetables based foods, ,, Vegetables based foods, ,, Frozen foods, ,, Vegetables, ,, Frozen plant-based foods, ,, Frozen vegetables, ,, Leaf vegetables, ,, Prepared vegetables, ,, Spinachs, ,, Frozen spinachs, ,, Prepared spinachs, ,, Spinach with cream sauce","No preservatives, ,, No colorings, ,, Nutriscore, ,, Nutriscore Grade A",,,"France, ,, World","French: Epinards branches 70%, eau, crème fraîche ( LAIT origine France) 7%, amidons, LAIT en poudre (origine UE), sel, fibre de pois, muscade.",Milk,,8,B,4,B,True,True,no,low,moderate,low,moderate,214.0,51.0,2.5,1.5,3.5,1.2,2.0,2.7,0.7,0.28,,,1,4,3,0,0,1,3,1,0,2
https://world.openfoodfacts.org/product/5400101222502/carrefour-original-vol-au-vent-avec-champignons,5400101222502,Carrefour Original Vol-au-Vent avec Champignons – 400 g,400 g,"Glass, ,, Jar",Carrefour,"Meals, ,, Meals with meat, ,, Vol-au-vent in sauce","Green Dot, ,, Made in Belgium, ,, Nutriscore, ,, Nutriscore Grade A",,Belgique,"Belgium, ,, France","French: Eau, viande de poulet 30%, champignons de Paris 9%, amidon modifié ( blé , maïs), huile de tournesol, maltodextrine, bouillon de poulet (sel, amidon modifié de pommes de terre, arômes (contient céleri ), huile de tournesol, viande de poulet, épices, carottes), protéines de lait , amidon de blé, noix de muscade, émulsifiant : mono - et diglycérides d'acides gras. Peut contenir des traces de moutarde et soja .","Celery, Gluten, Milk","Mustard, Soybeans",21,B,4,,,False,no,low,low,low,moderate,343.0,81.0,2.6,0.4,5.4,0.0,0.5,9.0,0.63,0.252,,,1,4,3,1,0,0,3,3,0,0
https://world.openfoodfacts.org/product/8435257018447/natural-nestle,8435257018447,Natural – Nestlé – 720 g (6 x 120 g),720 g (6 x 120 g),Plastic,"Nestlé, ,, Longa Vida","Dairies, ,, Fermented foods, ,, Fermented milk products, ,, Desserts, ,, Dairy desserts, ,, Fermented dairy desserts, ,, Yogurts, ,, Plain fermented dairy desserts, ,, Plain yogurts",,,España,"France, ,, Portugal","Portuguese: Leite semidesnatado (2,7% matéria gorda), leite em pó magro, proteínas de leite , fermentos lácteos (contêm lactose ).",Milk,,5,B,4,B,True,True,no,low,moderate,low,low,239.0,57.0,2.6,1.8,4.9,4.8,0.0,3.4,0.15,0.06,,0.0,1,2,1,0,1,1,0,1,0,0
