iter	Passed	Remaining
403	9445	2244
404	9474	2222
405	9503	2200
406	9533	2178
407	9562	2156
408	9592	2134
409	9620	2111
410	9648	2089
411	9679	2067
412	9707	2044
413	9736	2022
414	9766	2000
415	9797	1978
416	9829	1956
417	9861	1934
418	9896	1913
419	9943	1894
420	9983	1873
421	10029	1853
422	10076	1834
423	10121	1814
424	10166	1794
425	10203	1772
426	10251	1752
427	10291	1731
428	10338	1711
429	10387	1690
430	10433	1670
431	10483	1650
432	10524	1628
433	10561	1606
434	10604	1584
435	10647	1562
436	10690	1541
437	10740	1520
438	10788	1499
439	10828	1476
440	10878	1455
441	10930	1434
442	10974	1412
443	11008	1388
444	11044	1365
445	11079	1341
446	11117	1318
447	11158	1295
448	11213	1273
449	11249	1249
450	11295	1227
451	11349	1205
452	11392	1181
453	11437	1158
454	11492	1136
455	11537	1113
456	11581	1089
457	11625	1066
458	11670	1042
459	11711	1018
460	11753	994
461	11787	969
462	11831	945
463	11875	921
464	11933	898
465	11980	874
466	12025	849
467	12074	825
468	12115	800
469	12166	776
470	12209	751
471	12255	727
472	12306	702
473	12353	677
474	12394	652
475	12422	626
476	12459	600
477	12487	574
478	12517	548
479	12545	522
480	12573	496
481	12603	470
482	12631	444
483	12659	418
484	12692	392
485	12723	366
486	12751	340
487	12783	314
488	12813	288
489	12844	262
490	12876	236
491	12909	209
492	12942	183
493	12974	157
494	13006	131
495	13037	105
496	13067	78
497	13097	52
498	13128	26
499	13156	0
