iter	Accuracy	MultiClass
295	0.8042498675	0.5534892443
296	0.8046253755	0.5527535537
297	0.8047137303	0.5522658339
298	0.8049346174	0.5519195589
299	0.8052217706	0.5513667749
300	0.8050671497	0.5510604704
301	0.80557519	0.5504968586
302	0.8056414561	0.5498854785
303	0.8060169641	0.5494748933
304	0.806105319	0.5492064
305	0.806105319	0.548929166
306	0.8062157625	0.548526586
307	0.8064145609	0.5482047425
308	0.806635448	0.5477787564
309	0.8066796254	0.5474169369
310	0.8069005125	0.5470082908
311	0.806856335	0.5466731751
312	0.807165577	0.5461732221
313	0.8071876657	0.5456876267
314	0.8072539318	0.5452882508
315	0.8076294398	0.5449244987
316	0.8076736172	0.5446206473
317	0.8079607705	0.5440631933
318	0.8079607705	0.5436651813
319	0.8079828592	0.5432655776
320	0.8082037462	0.5428397574
321	0.8083141898	0.5424319605
322	0.8085792543	0.5420258135
323	0.8086455204	0.5416750867
324	0.8087338752	0.5412998385
325	0.8089105849	0.5410419845
326	0.8091093833	0.5405137676
327	0.8092198268	0.540155049
328	0.8094407139	0.5396925935
329	0.8093523591	0.5392645852
330	0.80950698	0.5389287725
331	0.8095953349	0.538646741
332	0.8097720445	0.538398716
333	0.8100150203	0.5380400591
334	0.8101696413	0.5377529811
335	0.8103684397	0.537132742
336	0.8106555929	0.5367970787
337	0.810721859	0.5364681027
338	0.8108102138	0.5359764842
339	0.8107660364	0.5356982106
340	0.8108985687	0.5353045616
341	0.8111636332	0.5350228533
342	0.8112298993	0.5345815615
343	0.8114949638	0.5341115238
344	0.8115833186	0.533743668
345	0.8117600283	0.5332619269
346	0.8120250928	0.5328832605
347	0.8122018024	0.5325873272
348	0.8122018024	0.5323384975
349	0.8121355363	0.532035281
350	0.8122680686	0.5316803861
351	0.812312246	0.5312250329
352	0.8124447782	0.5307482687
353	0.8124668669	0.5303463192
354	0.8125993992	0.5298610682
355	0.8130632621	0.5293921228
356	0.8133945927	0.5289209767
357	0.8135713024	0.5285239991
358	0.8137701007	0.5282556513
359	0.8137701007	0.5278709055
360	0.8138142781	0.527505467
361	0.8141456088	0.527011338
362	0.8143223184	0.5267140862
363	0.814278141	0.526487311
364	0.8144106733	0.5260991164
365	0.8143664958	0.5257829624
366	0.8145652942	0.5254953563
367	0.8146536491	0.5252943358
368	0.8147640926	0.5246552292
369	0.8148966248	0.5243826827
370	0.8151616893	0.5240469312
371	0.8154267538	0.5236610101
372	0.8154267538	0.5232519382
373	0.8154267538	0.5230292134
374	0.8154267538	0.5227208287
375	0.8154488426	0.5222561009
376	0.8157580845	0.5218518001
377	0.8157580845	0.5215688779
378	0.816023149	0.5213441804
379	0.8160894151	0.5210545774
380	0.8161998586	0.5207430884
381	0.8161556812	0.5204647802
382	0.8164428344	0.5200209852
383	0.8165311893	0.5196149685
384	0.8167520763	0.5192276607
385	0.8168625199	0.5188203298
386	0.8172601166	0.5185596967
387	0.8173484715	0.5182571162
388	0.8173484715	0.5180737574
389	0.8175693585	0.5177181188
390	0.8175030924	0.5174194251
391	0.8176577134	0.5171792333
392	0.8177239795	0.5169539253
393	0.8180111327	0.5165280076
394	0.8181215763	0.5161258721
395	0.8180773988	0.5158469548
396	0.8184970843	0.51544308
397	0.818519173	0.5150686029
398	0.818519173	0.5148055755
399	0.8187842375	0.5143929457
400	0.819203923	0.5140729878
401	0.8190934794	0.5138289497
402	0.8190272133	0.5136114875
403	0.8192701891	0.51325688
404	0.8195131649	0.5129932603
405	0.819734052	0.5128297555
406	0.8198224068	0.5126119031
407	0.8199770277	0.5122883657
408	0.8201758261	0.5120539705
409	0.8202420922	0.5117622443
410	0.8203304471	0.5114084285
411	0.8203083584	0.5111640117
412	0.8205292454	0.5107638184
413	0.8207280438	0.5104752554
414	0.8209047535	0.5101763925
415	0.8211035519	0.5097767996
416	0.8213465277	0.5095519576
417	0.8215232373	0.5091044136
418	0.8215232373	0.5087438448
419	0.8218324792	0.5083841487
420	0.8219208341	0.5081699036
421	0.8220533663	0.5079676277
422	0.8218987454	0.5077993871
423	0.8218766567	0.50749283
424	0.822075455	0.5072245035
425	0.8220975437	0.5070430304
426	0.8222521647	0.5067518858
427	0.8223405195	0.5064030393
428	0.8222963421	0.5061896912
429	0.8224509631	0.5059129003
430	0.8224288744	0.5057808436
431	0.822605584	0.5056562908
432	0.8226497614	0.5054148662
433	0.8228043824	0.5050901268
434	0.8228264711	0.5048863404
435	0.8230473582	0.5044383136
436	0.8229590034	0.5041449602
437	0.8231798904	0.5039437375
438	0.8232240679	0.5037256988
439	0.8234449549	0.5032358253
440	0.8235333098	0.5030250739
441	0.8236879307	0.5028204956
442	0.8237983743	0.502590412
443	0.8238867291	0.5024372256
444	0.824195971	0.5020276368
445	0.8240634388	0.5017947224
446	0.824195971	0.5015365966
447	0.8243726807	0.5012520965
448	0.8245052129	0.5009398123
449	0.8246156565	0.5006733264
450	0.824880721	0.5003993971
451	0.8249028097	0.500001844
452	0.8249690758	0.4996135992
453	0.8251236968	0.4992135859
454	0.8253224951	0.498824421
455	0.8255654709	0.4984288055
456	0.8256096483	0.4981219553
457	0.8256317371	0.4978366252
458	0.8256538258	0.4976667524
459	0.8258084467	0.4973317951
460	0.8259851564	0.4970468646
461	0.8260514225	0.4968005367
462	0.8262502209	0.496491734
463	0.8263606644	0.496245377
464	0.8263827531	0.4960823988
465	0.826846616	0.4958470495
466	0.8267361725	0.4956808371
467	0.826846616	0.4953071134
468	0.8269128821	0.4948657444
469	0.8269791483	0.4946914721
470	0.8271558579	0.4945589633
471	0.8272442128	0.4942828696
472	0.8274871885	0.4937813075
473	0.8275534547	0.4934572735
474	0.8277743418	0.4932744992
475	0.8278185192	0.4929191043
476	0.8279510514	0.4926210749
477	0.8279952288	0.4923737635
478	0.8281056724	0.4921281581
479	0.828061495	0.4919215861
480	0.8281498498	0.4916420358
481	0.8281719385	0.4913633593
482	0.8282382046	0.4911977238
483	0.8284149143	0.490927173
484	0.828282382	0.4906990692
485	0.828437003	0.4904047097
486	0.8286358014	0.4901475102
487	0.8288345998	0.4898985696
488	0.8289008659	0.4896146896
489	0.8289229546	0.4894586689
490	0.8290775755	0.489234175
491	0.8293205513	0.4889310525
492	0.8294089062	0.4887551208
493	0.8295193497	0.4885470574
494	0.8294309949	0.4882934867
495	0.8296297932	0.4880267259
496	0.8295635271	0.4877632095
497	0.8294751723	0.4875525822
498	0.8295193497	0.487144819
499	0.8296739707	0.4867727816
